ProductKey,Product Code,Product Name,Product Model Name,Product Category Name,Product Subcategory Name,Product Colour,Product Size,Product Line,Product Status,Product Description
210,FR-R92B-58,"HL Road Frame - Black, 58",HL Road Frame,Components,Road Frames,Black,58,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
211,FR-R92R-58,"HL Road Frame - Red, 58",HL Road Frame,Components,Road Frames,Red,58,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
212,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Accessories,Helmets,Red,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
213,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Accessories,Helmets,Red,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
214,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Accessories,Helmets,Red,NULL,"S ",Current,"Universal fit, well-vented, lightweight , snap-on visor."
215,HL-U509,"Sport-100 Helmet, Black",Sport-100,Accessories,Helmets,Black,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
216,HL-U509,"Sport-100 Helmet, Black",Sport-100,Accessories,Helmets,Black,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
217,HL-U509,"Sport-100 Helmet, Black",Sport-100,Accessories,Helmets,Black,NULL,"S ",Current,"Universal fit, well-vented, lightweight , snap-on visor."
218,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,Clothing,Socks,White,M,"M ",Outdate,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
219,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,Clothing,Socks,White,L,"M ",Outdate,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
220,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Accessories,Helmets,Blue,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
221,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Accessories,Helmets,Blue,NULL,"S ",Outdate,"Universal fit, well-vented, lightweight , snap-on visor."
222,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Accessories,Helmets,Blue,NULL,"S ",Current,"Universal fit, well-vented, lightweight , snap-on visor."
223,CA-1098,AWC Logo Cap,Cycling Cap,Clothing,Caps,Multi,NULL,"S ",Outdate,Traditional style with a flip-up brim; one-size fits all.
224,CA-1098,AWC Logo Cap,Cycling Cap,Clothing,Caps,Multi,NULL,"S ",Outdate,Traditional style with a flip-up brim; one-size fits all.
225,CA-1098,AWC Logo Cap,Cycling Cap,Clothing,Caps,Multi,NULL,"S ",Current,Traditional style with a flip-up brim; one-size fits all.
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,S,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,S,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,S,"S ",Current,Unisex long-sleeve AWC logo microfiber cycling jersey
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,M,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,M,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,M,"S ",Current,Unisex long-sleeve AWC logo microfiber cycling jersey
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,L,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,L,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,L,"S ",Current,Unisex long-sleeve AWC logo microfiber cycling jersey
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,XL,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,XL,"S ",Outdate,Unisex long-sleeve AWC logo microfiber cycling jersey
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Clothing,Jerseys,Multi,XL,"S ",Current,Unisex long-sleeve AWC logo microfiber cycling jersey
238,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Components,Road Frames,Red,62,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
239,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Components,Road Frames,Red,62,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
240,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Components,Road Frames,Red,62,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
241,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Components,Road Frames,Red,44,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
242,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Components,Road Frames,Red,44,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
243,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Components,Road Frames,Red,44,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
244,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Components,Road Frames,Red,48,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
245,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Components,Road Frames,Red,48,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
246,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Components,Road Frames,Red,48,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
247,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Components,Road Frames,Red,52,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
248,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Components,Road Frames,Red,52,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
249,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Components,Road Frames,Red,52,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
